title,url
Kyiv locals queue for water after Russian strikes,/news/world-europe-63463697
The brothers who died in the Indian bridge disaster,/news/world-asia-india-63465616
Brazil's Bolsonaro yet to concede after Lula's win,/news/world-latin-america-63451859
The US' mysterious Viking runes,https://www.bbc.com/travel/article/20221030-the-mysterious-viking-runes-found-in-a-landlocked-us-state
Four shifts changing workdays forever,https://www.bbc.com/worklife/article/20221021-four-shifts-that-could-change-workdays-forever
Man charged with attempting to kidnap Nancy Pelosi,/news/world-us-canada-63435454
'It's our fault they died': Seoul grieves its young,/news/world-asia-63455372
WATCH: Inside Shanghai Disney’s Covid lockdown,/news/world-asia-china-63464731
France midfielder Pogba to miss World Cup in Qatar,/sport/football/63462240
Kohli shares video of 'stranger' in his hotel room,/sport/cricket/63454614
Verstappen becomes a truly dominant champion,/sport/formula1/63450926
The people solving remote-work problems,https://www.bbc.com/worklife/article/20221027-the-rise-of-the-chief-remote-officer
Will we live in city-sized buildings?,https://www.bbc.com/future/article/20221028-will-we-ever-live-in-city-sized-buildings
The airport that changed Europe,https://www.bbc.com/travel/article/20221031-tempelhof-the-single-site-that-embodies-berlin
The 9 best TV shows to view this month,https://www.bbc.com/culture/article/20221031-9-of-the-best-tv-shows-to-watch-this-november
Grave of Harry Potter elf Dobby saved for now,https://www.bbc.com/news/uk-wales-63462109
Dumped pumpkins could prove fatal to hedgehogs,https://www.bbc.com/news/uk-england-lincolnshire-63426864
Elon Musk says Twitter blue tick to be revamped,https://www.bbc.com/news/business-63451979
Your next job interview could take place in virtual reality,https://www.bbc.com/news/business-63311886
Why lasers are being used to write inside diamonds,https://www.bbc.com/news/business-62318016
Watch: Kyiv locals seen queuing for water,/news/world-europe-63464732
Watch: Kyiv locals seen queuing for water,/news/world-europe-63464732
Lula thanks the people of Brazil after...,/news/world-latin-america-63450032
World's longest passenger train rolls through...,/news/world-europe-63442530
People climb collapsed India bridge to flee...,/news/world-asia-india-63449643
Scores killed in Seoul Halloween crush...,/news/world-asia-63445639
One-minute World News,/news/10462520
Seoul crush witnesses recount 'out of...,/news/world-asia-63443486
Meet the designers with learning disabilities,/news/stories-63412071
Droves leave party district after deadly...,/news/world-asia-63442531
Christmas turkey fears as bird flu rules widened,/news/science-environment-63431588
"Tindall, Moyles and Boy George set for I’m A Celeb",/news/entertainment-arts-63423810
How solar farms in space might beam electricity to Earth,https://www.bbc.co.uk/news/business-62636746
Workers flee Covid lockdown at China iPhone factory,/news/world-asia-china-63447755
BBC announces local radio programming cuts,/news/entertainment-arts-63455192
UK battery firm near collapse as it seeks funding,/news/business-63457813
India destroys 100 million Covid vaccines,/news/world-asia-india-63324548
Crunch time as crisp makers adopt plastic-free packets,https://www.bbc.com/news/business-63300160
New York cleaners create new path to entrepreneurship,https://www.bbc.com/news/business-63221411
In pictures: Lula beats Bolsonaro,/news/world-latin-america-63451896
Africa's top shots: Red rings and seas of green,/news/world-africa-63411863
Lockdown laundry portraits win photo prize,/news/entertainment-arts-63397654
In pictures: Sunak becomes new UK prime minister,/news/in-pictures-63388207
Weather Watchers: Your pictures of autumn leaves,/weather/features/63345178
